"Team_Id","Team_Name","Club_ID","Short_Name","Sex"
164,"City of Peterborough Ladies 3",24,"COP 3","Ladies"
165,"Cambridge Nomads Ladies 2",9,"Nomads 2","Ladies"
166,"Cambridge South Ladies",57,"Cambridge South","Ladies"
167,"Cambridge South 4",57,"South 4","Men"
168,"Royston 5",27,"Royston 5","Men"
169,"Bourne Ladies 2",5,"Bourne 2","Ladies"
170,"Cheshunt",63,"Cheshunt","Men"
171,"Bishop's Stortford",2,"Bishop's Stortford","Men"
173,"Deacons U18",46,"Deacons U18","Men"
174,"Cambridge Nomads",9,"Cambridge Nomads","Men"
176,"St Ives",32,"St Ives","Men"
178,"Royston Ladies",27,"Royston","Ladies"
180,"Saffron Walden 8",29,"Saffron Walden 8","Men"
182,"Ipswich 4",45,"Ipswich 4","Men"
183,"Ely City Mixed",11,"Ely City Mixed","Men"
184,"Ely City Ladies 3",11,"Ely City 3","Ladies"
186,"Dunmow",50,"Dunmow","Men"
187,"Bourne Deeping 1",51,"Bourne Deeping 1","Men"
188,"Cambridge South 1",57,"South 1","Men"
189,"Bourne Deeping 5",51,"Bourne Deep 5","Men"
190,"Newmarket Ladies 1",21,"Newmarket 1","Ladies"
191,"Spalding Ladies 2",31,"Spalding 2","Ladies"
192,"March Town Ladies 1",18,"March Town 1","Ladies"
193,"Bourne-Deeping Ladies 2",51,"Bourne-Deeping 2","Ladies"
194,"St Neots Mixed",33,"St Neots","Mixed"
195,"Ipswich - East Suffolk",52,"Ipswich ES","Men"
196,"Blueharts 6",3,"Blueharts 6","Men"
197,"Ipswich Cranes 2",54,"Ipswich Cranes 2","Men"
198,"Shefford & Sandy 4",39,"Shefford & Sandy 4","Men"
199,"Christ's College",55,"Christ's College","Men"
200,"Leadenham 1",56,"Leadenham","Men"
201,"Oundle Ladies",58,"Oundle","Ladies"
202,"Rutland Ladies 2",28,"Rutland 2","Ladies"
203,"Bourne Deeping 3",51,"Bourne Deep 3","Men"
204,"Grantham 1",59,"Grantham 1","Men"
205,"Louth 1",60,"Louth1","Men"
206,"Bourne Deeping 4",51,"Bourne Deeping 4","Men"
207,"City of Peterborough Vets",24,"Peterborough Vets","Men"
208,"Phoenix 1",61,"Phoenix 1","Men"
209,"Phoenix 2",61,"Phoenix 2","Men"
210,"Phoenix 3",61,"Phoenix 3","Men"
211,"Phoenix 4",61,"Phoenix 4","Men"
212,"Ipswich Cranes 1",54,"Cranes 1","Men"
213,"Ipswich East Suffolk 5",52,"Ipswich ES 5","Men"
217,"Bury St Edmunds Ladies 2",38,"Bury 2","Ladies"
218,"Bury St Edmunds Ladies 3",38,"Bury 3","Ladies"
219,"Saffron Walden 7",29,"Walden 7","Men"
220,"Broxbourne Ladies 2",6,"Broxbourne 2","Ladies"
221,"Letchworth 3",16,"Letchworth 3","Men"
222,"Blueharts 4",3,"Blueharts 4","Men"
223,"Bourne Deeping 2",51,"Bourne Deep 2","Men"
224,"Cambridge South 5",57,"South 5","Men"
225,"Haverhill Ladies 2",64,"Haverhill 2","Ladies"
226,"Royston Ladies 3",27,"Royston 3","Ladies"
227,"Huntingdon Ladies 2",14,"Huntingdon 2","Ladies"
228,"St Neots Ladies 2",33,"St Neots 2","Ladies"
229,"Newmarket Ladies 3",21,"Newmarket 3","Ladies"
230,"Royston Ladies 2",27,"Royston 2","Ladies"
231,"Stevenage 2",34,"Stevenage 2","Men"
